gutenberg_id,title,author,language,gutenberg_bookshelf
39195,"Legends of Gods and Ghosts (Hawaiian Mythology)
Collected and Translated from the Hawaiian","Westervelt, W. D. (William Drake)",en,
44536,Georgian Folk Tales,NA,en,
45214,The Russian Grandmother's Wonder Tales,"Houghton, Louise Seymour",en,
45321,Serbian Folk-lore,NA,en,
45634,"Myths of the Cherokee
Extract from the Nineteenth Annual Report of the Bureau of American Ethnology","Mooney, James",en,
46047,Tales and Legends of the Tyrol,"Günther, Marie A., countess",en,
46863,Old-World Japan: Legends of the Land of the Gods,"Rinder, Frank",en,
46944,"The Golden Maiden, and other folk tales and fairy stories told in Armenia","Seklemian, A. K.",en,
46960,"Beasts & Men
Folk Tales Collected in Flanders and Illustrated by Jean de Bosschère","Boschère, Jean de",en,
51762,Manx Fairy Tales,"Morrison, Sophia",en,
58816,"Simla Village Tales; Or, Folk Tales from the Himalayas","Dracott, Alice",en,
60165,Navaho Legends,NA,en,
66443,Wonder Tales from Tibet,"Jewett, Eleanore Myers",en,
